id,žanr
12557,Contemporary
12568,Fiction
12568,Poetry
12568,Short Stories
12568,Literature
12568,Humor
125870,Literature
125870,Literature
125870,Literary Fiction
125870,Adventure
125870,Fiction
125870,Academic
125870,Short Stories
125870,Historical Fiction
125870,United States
125870,Classics
126232,Horror
126232,Fiction
126232,Thriller
126232,Classics
126232,Adventure
126232,Suspense
126512,Classics
126512,Fiction
126512,Literature
12657,Historical Fiction
12657,Fiction
12657,Historical
12657,Religion
12658,Historical Fiction
12658,Fiction
12658,Historical
12658,Classics
12658,Novels
12658,Epic
12658,Travel
12658,Adult Fiction
12658,North American Hi...
12658,Literature
12659,Historical Fiction
12659,Fiction
12659,Historical
12661,Fiction
12661,Historical Fiction
12661,Historical
12663,Historical Fiction
12663,Fiction
12663,Cultural
12663,Historical
12663,Novels
12663,Adult Fiction
12663,Literature
12663,Adventure
12663,Epic
12663,War
126675,Mystery
126675,Fiction
126675,Classics
127028,Fiction
127028,Classics
127028,Historical Fiction
12749,Classics
12749,Fiction
12749,Cultural
12749,Literature
12749,European Literature
127584,Fantasy
127584,Science Fiction
127584,Fantasy
127584,Fiction
127584,Science Fiction Fantasy
127586,Fantasy
127586,Science Fiction
127586,Fantasy
127586,Fiction
127586,Science Fiction Fantasy
12764,Cultural
12764,Literature
12781,Fiction
12781,Magical Realism
12781,Classics
12781,Literature
12781,Cultural
12781,Fantasy
12781,Religion
12781,Novels
12781,Contemporary
12781,Literature
12813565,Humor
12813565,Adult Fiction
12813565,Adult
12813565,Literature
12813565,Literature
12813565,Fiction
12813565,Dark
12885,Short Stories
12885,Fiction
12885,Literature
12885,Literature
12890,Fiction
12890,Classics
12890,Historical Fiction
12890,Religion
12890,European Literature
12890,Literature
12898,Plays
12898,Classics
12898,Fiction
12898,Drama
12898,Academic
129237,Philosophy
129237,Law
129237,Classics
129237,Politics
129237,Politics
12936,Science Fiction
12936,Fiction
12936,Childrens
12936,Childrens
1295,Historical Fiction
1295,Fiction
1295,Romance
1295,Classics
1295,Adventure
1295,Historical Fiction
1295,Adult Fiction
1295,Novels
1295,Historical
1295,Literature
12967,Fantasy
12967,Fiction
12967,Audiobook
12995,Fiction
12995,Classics
12995,Literature
13,Science Fiction
13,Fiction
13,Humor
13,Fantasy
13,Classics
130115,Fiction
130115,Cultural
130115,Classics
13033,Fiction
13033,Classics
13033,Historical Fiction
13033,Cultural
13033,Literature
13042,Fiction
13042,American
13042,Literature
130440,Historical Fiction
130440,Cultural
130440,Literature
130440,Classics
130440,Romance
130440,Literature
130580,Classics
130580,Fiction
130580,Young Adult
130580,Childrens
130580,Animals
130580,Historical Fiction
13103,Fiction
13103,Spirituality
13103,Self Help
13103,Spirituality
131359,Mystery
131359,Mystery
131359,Classics
131359,Mystery
13148,Mystery
13148,Fiction
13148,Thriller
13148,Mystery
13148,Suspense
13214,Nonfiction
13214,Classics
13214,Autobiography
13214,Biography
13214,Biography
132626,Nonfiction
132626,Philosophy
132626,Classics
132626,Philosophy
132749,Classics
132749,Fiction
132749,War
132749,European Literature
132749,Historical Fiction
133380,Poetry
133380,Classics
133380,Fiction
133380,Literature
133380,Glbt
133380,Feminism
133380,Literature
133380,Womens
133380,Literature
133380,Female Authors
133394,Fiction
133394,Spy Thriller
133394,Classics
133394,Literature
133394,Mystery
133430,Historical Fiction
133430,Fiction
133430,Historical
133430,Western
133430,Classics
133445,Fiction
133445,Cultural
133445,Feminism
133445,Classics
133445,Contemporary
133518,Academic
133518,Nonfiction
133518,Literature
133518,War
133518,Academic
133793,Nonfiction
133793,Autobiography
133793,Crime
133793,Biography
133793,Mystery
1346917,Poetry
1346917,Literature
1346917,Literature
1346917,Literature
13496,Fantasy
13496,Fiction
13496,Fantasy
13496,Science Fiction Fantasy
13496,Adult
13496,Adventure
13496,Fantasy
13496,Fantasy
13496,Epic
13496,Audiobook
135106,Mystery
135106,Historical Fiction
135106,Thriller
135106,American
1354214,Fiction
1354214,Horror
1354214,Fantasy
1354214,Mystery
1354214,Romance
1354214,Paranormal
135479,Fiction
135479,Classics
135479,Science Fiction
135479,Literature
135479,Humor
135479,Novels
135479,Science Fiction
135479,Literature
135479,Fantasy
135479,Literature
135836,Fiction
135836,Contemporary
136096,Fiction
136096,Historical Fiction
136096,World War II
136116,Historical Fiction
136116,Fiction
136116,Classics
136116,Adventure
136116,Romance
136116,Historical
13642,Fiction
13642,Young Adult
13642,Fantasy
13642,Classics
13642,Science Fiction Fantasy
13651,Science Fiction
13651,Fiction
13651,Fantasy
13651,Science Fiction
13651,Science Fiction Fantasy
13651,Classics
13651,Speculative Fiction
13651,Politics
13651,Philosophy
13651,Novels
1375256,Nonfiction
1375256,Travel
1375256,Adventure
1375256,History
1375256,Classics
1375256,Biography
1375256,Autobiography
13813,Fantasy
13813,Fiction
13813,Fantasy
13813,Science Fiction Fantasy
138165,Poetry
138165,Drama
138165,Plays
138165,Classics
138165,European Literature
138165,Fiction
138165,Literature
13821,Fantasy
13821,Science Fiction
13821,Fiction
13831,Fantasy
13831,Young Adult
13831,Fiction
13831,Fantasy
13831,Adventure
13872,Fiction
13872,Horror
13872,Fantasy
13872,Contemporary
138872,Historical Fiction
138872,Fiction
138872,Historical
138872,Adventure
13891,Fantasy
13891,Fiction
13891,Fantasy
138959,Childrens
138959,Classics
138959,Fiction
138959,Fantasy
139253,Fiction
139253,Young Adult
139253,Classics
139253,Academic
139253,Short Stories
139253,Young Adult
139253,Academic
139253,Realistic Fiction
139253,Literature
139253,Poetry
13927,Fantasy
13927,Romance
13927,Historical Fiction
13927,Fiction
13927,Historical
13928,Fantasy
13928,Romance
13928,Fiction
13928,Historical Fiction
13928,Fantasy
13928,Young Adult
13928,Fantasy
13928,Historical
13928,Retellings
13928,Adult
1399975,Fiction
1399975,Cultural
1399975,Classics
1399975,Literature
140225,Fantasy
140225,Fiction
140225,Classics
140225,Young Adult
140225,Childrens
14028,Fiction
14028,Cultural
14028,Asian Literature
14028,Literature
14028,Cultural
14028,Romance
14064,Horror
14064,Science Fiction
14064,Fiction
14064,Paranormal
14064,Classics
14064,Apocalyptic
14064,Fantasy
140963,Fiction
140963,Historical Fiction
140963,Classics
140963,Literature
14142,Psychology
14142,Nonfiction
14142,Philosophy
14142,Self Help
14142,Sociology
141828,Cultural
141828,Fiction
141828,Classics
141828,European Literature
141828,Romance
141828,Novels
141828,Fantasy
141828,Literature
141828,Literature
141828,Roman
14185,Fiction
14185,Science Fiction
14185,Science Fiction Fantasy
142296,Fantasy
142296,Science Fiction
142296,Science Fiction
142296,Science Fiction
142296,Fiction
142296,Historical Fiction
14249,Fiction
14249,Contemporary
14249,Novels
14249,Environment
14286,Short Stories
14286,Fiction
14286,Cultural
14286,Contemporary
1431,Contemporary
1431,Philosophy
1431,Novels
14345,Fiction
14345,Historical Fiction
14345,Magical Realism
14349,Fiction
14349,Classics
14349,Literature
14349,Literature
14349,Short Stories
14349,Literature
14349,Historical Fiction
14349,Adult Fiction
14349,Anthologies
14349,Literature
143534,Classics
143534,Short Stories
143534,Holiday
143534,Fiction
143534,Holiday
143534,Young Adult
143534,Academic
143534,Academic
143534,Historical Fiction
143534,Literature
14358,Young Adult
14358,Fiction
14358,Fantasy
14358,Childrens
14358,Romance
14358,Science Fiction
14358,Classics
14358,Young Adult
14358,Young Adult
14358,Realistic Fiction
14376,Fiction
14376,Short Stories
14376,Philosophy
14376,Science Fiction
144073,Fiction
144073,Classics
144073,Cultural
14431,Fiction
14431,Historical Fiction
144629,Fiction
144629,Literature
14497,Fantasy
14497,Fiction
14497,Fantasy
14497,Science Fiction Fantasy
144974,Childrens
144974,Classics
144974,Fiction
144974,Childrens
14595,Music
14595,Nonfiction
14595,History
14595,Music
146422,Fiction
146422,Short Stories
146422,Magical Realism
146422,Literature
146422,Classics
146422,Fantasy
146559,Fiction
146559,Classics
146559,Literature
146559,Novels
146746,Historical Fiction
146746,Cultural
146746,Fiction
146746,Historical
146746,Classics
147039,Magical Realism
147039,Cultural
147039,Romance
147039,Cultural
147039,Classics
14769,Fiction
14769,Historical Fiction
14769,Literature
14769,Religion
14769,Literature
14769,Religion
14817,Fiction
14817,Science Fiction
14817,Science Fiction
14836,Fiction
14836,Cultural
14836,Magical Realism
14836,Classics
14836,Historical Fiction
14836,Fantasy
14836,Literature
14836,Novels
14836,Literary Fiction
14836,Asian Literature
14891,Classics
14891,Historical Fiction
14891,Young Adult
14891,Fiction
14905,Romance
14905,Historical Fiction
14905,Classics
14905,European Literature
149267,Horror
149267,Fiction
149267,Fantasy
149267,Science Fiction
149267,Apocalyptic
14940,Plays
14940,Drama
14940,Classics
14940,Fiction
14940,Plays
14940,Literature
14940,Literature
14940,Academic
14940,Literature
14940,Academic
14942,Fiction
14942,Classics
14942,European Literature
14942,Novels
1499952,Classics
1499952,Young Adult
1499952,Fiction
1499952,Romance
1499952,Historical Fiction
15047,Fiction
15047,Historical Fiction
15047,Magical Realism
15047,Glbt
15047,Glbt
15047,Fantasy
151926,Fiction
151926,Historical Fiction
151926,War
151926,War
15195,Sequential Art
15195,Sequential Art
